Date,Time,Latitude,Longitude
2022/02/09,19:45:21,-40.578976,-64.998116
2022/02/09,20:46:01,-40.579456,-64.998528
2022/02/10,10:07:44,-40.579456,-64.998528
2022/02/10,10:24:29,-40.578846,-64.998032
2022/02/10,10:39:55,-40.578888,-64.998001
2022/02/10,10:55:43,-40.578938,-64.998055
2022/02/10,11:38:53,-40.578899,-64.998039
2022/02/10,12:07:19,-40.578796,-64.998207
2022/02/10,12:22:37,-40.578777,-64.998085
2022/02/10,12:38:02,-40.578754,-64.998131
2022/02/10,12:53:25,-40.578754,-64.998161
2022/02/10,13:08:51,-40.578766,-64.998169
2022/02/10,13:25:03,-40.578754,-64.998131
2022/02/10,13:45:26,-40.578743,-64.998177
2022/02/10,14:00:34,-40.578716,-64.998245
2022/02/10,14:15:47,-40.578705,-64.998268
2022/02/10,14:31:07,-40.578651,-64.998398
2022/02/10,14:46:33,-40.578621,-64.998413
2022/02/10,15:02:00,-40.578621,-64.998383
2022/02/10,15:17:22,-40.578644,-64.998367
2022/02/10,15:32:37,-40.578716,-64.998283
2022/02/10,15:47:48,-40.578773,-64.998268
2022/02/10,16:03:09,-40.578701,-64.998253
2022/02/10,16:19:00,-40.578770,-64.998184
2022/02/10,16:34:26,-40.578800,-64.998192
2022/02/10,16:49:44,-40.578793,-64.998177
2022/02/10,17:05:08,-40.578911,-64.998123
2022/02/10,17:20:55,-40.578903,-64.998009
2022/02/10,17:37:27,-40.578899,-64.998306
2022/02/10,19:31:27,-40.578899,-64.998306
2022/02/10,19:50:18,-40.578880,-64.998032
2022/02/10,20:06:06,-40.578892,-64.998032
2022/02/10,20:35:37,-40.578873,-64.998001
2022/02/11,06:03:59,-40.578934,-64.998062
2022/02/11,06:42:20,-40.578930,-64.997978
2022/02/11,07:54:00,-40.578930,-64.997978
2022/02/11,08:12:18,-40.578960,-64.998116
2022/02/11,08:27:57,-40.578941,-64.998093
2022/02/11,09:14:00,-40.58653,-65.00097
,,,
