day;time distance;space distance;sex one;sex two;time;name one;name two
1/12/2020;339.0;10;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;334.0;14;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;324.0;14;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;193.0;8;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;188.0;10;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;183.0;14;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;178.0;16;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;87.0;16;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;77.0;16;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;72.0;17;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;42.0;19;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;27.0;16;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;12.0;18;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;28.0;19;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;34.0;18;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;28.0;19;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;43.0;18;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;28.0;19;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;53.0;17;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;58.0;17;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;57.0;19;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;69.0;18;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;178.0;17;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;72.0;17;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;28.0;19;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;57.0;19;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;77.0;14;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;109.0;16;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;57.0;19;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;53.0;16;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;124.0;14;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;129.0;14;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;139.0;13;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;58.0;17;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;149.0;18;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;61.0;5;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;51.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;16.0;13;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;9.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;29.0;12;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;34.0;13;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;39.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;49.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;180.0;4;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;185.0;6;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;190.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;195.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;200.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;286.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;296.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;346.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;296.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;497.0;16;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;502.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;512.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;61.0;7;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;16.0;15;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;29.0;13;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
